sleeper_id,player_name,team,position,projected_points,opponent,def_rank_vs_pos,matchup_tier,injury_status,fppg,week,timestamp
11564,Drake Maye,NE,QB,23.5,22.2,,Neutral,,,,2025-11-18T23:08:14.229869
6904,Jalen Hurts,PHI,QB,22.5,19.7,,Neutral,,,,2025-11-18T23:08:14.229935
4881,Lamar Jackson,BAL,QB,22.2,18.5,,Neutral,,,,2025-11-18T23:08:14.229985
6994,Lamar Jackson,,CB,22.2,18.5,,Neutral,,,,2025-11-18T23:08:14.229985
4046,Patrick Mahomes,KC,QB,21.3,23.0,,Neutral,,,,2025-11-18T23:08:14.230043
2212,Josh Allen,,G,21.2,19.8,,Neutral,,,,2025-11-18T23:08:14.230110
4984,Josh Allen,BUF,QB,21.2,19.8,,Neutral,,,,2025-11-18T23:08:14.230110
8183,Brock Purdy,SF,QB,20.4,22.8,,Neutral,,,,2025-11-18T23:08:14.230325
12508,Jaxson Dart,NYG,QB,19.1,20.0,,Neutral,Out,,,2025-11-18T23:08:14.230439
421,Matthew Stafford,LAR,QB,18.4,22.7,,Neutral,,,,2025-11-18T23:08:14.230588
5870,Daniel Jones,IND,QB,18.2,23.7,,Neutral,,,,2025-11-18T23:08:14.230713
3163,Jared Goff,DET,QB,18.0,23.2,,Neutral,,,,2025-11-18T23:08:14.230824
3294,Dak Prescott,DAL,QB,17.7,23.3,,Neutral,,,,2025-11-18T23:08:14.230920
11560,Caleb Williams,CHI,QB,17.5,19.1,,Neutral,,,,2025-11-18T23:08:14.230990
4943,Sam Darnold,SEA,QB,17.2,20.9,,Neutral,,,,2025-11-18T23:08:14.231053
9758,C.J. Stroud,HOU,QB,16.9,21.6,,Neutral,Out,,,2025-11-18T23:08:14.231113
3257,Jacoby Brissett,ARI,QB,16.9,22.2,,Neutral,,,,2025-11-18T23:08:14.231175
6804,Jordan Love,GB,QB,16.9,20.7,,Neutral,Questionable,,,2025-11-18T23:08:14.231235
4892,Baker Mayfield,TB,QB,16.6,21.8,,Neutral,,,,2025-11-18T23:08:14.231294
7523,Trevor Lawrence,JAX,QB,16.5,20.2,,Neutral,,,,2025-11-18T23:08:14.231354
12545,Tyler Shough,NO,QB,16.0,21.7,,Neutral,,,,2025-11-18T23:08:14.231414
19,Joe Flacco,CIN,QB,15.7,23.6,,Neutral,,,,2025-11-18T23:08:14.231475
4972,Mason Rudolph,PIT,QB,14.9,21.0,,Neutral,,,,2025-11-18T23:08:14.231536
11565,J.J. McCarthy,MIN,QB,14.6,20.1,,Neutral,,,,2025-11-18T23:08:14.231595
9228,Bryce Young,CAR,QB,14.5,20.3,,Neutral,Questionable,,,2025-11-18T23:08:14.231656
1373,Geno Smith,LV,QB,14.5,20.5,,Neutral,,,,2025-11-18T23:08:14.231715
1166,Kirk Cousins,ATL,QB,14.2,20.8,,Neutral,,,,2025-11-18T23:08:14.231775
827,Tyrod Taylor,NYJ,QB,13.9,17.7,,Neutral,,,,2025-11-18T23:08:14.231835
12486,Dillon Gabriel,CLE,QB,13.2,20.1,,Neutral,Out,,,2025-11-18T23:08:14.231895
96,Aaron Rodgers,PIT,QB,12.1,10.6,,Neutral,Questionable,,,2025-11-18T23:08:14.232043
12522,Cam Ward,TEN,QB,11.4,18.8,,Neutral,,,,2025-11-18T23:08:14.232116
7591,Justin Fields,NYJ,QB,10.9,11.5,,Neutral,,,,2025-11-18T23:08:14.232181
12524,Shedeur Sanders,CLE,QB,6.5,10.2,,Neutral,,,,2025-11-18T23:08:14.232248
7585,Davis Mills,HOU,QB,5.0,6.4,,Neutral,,,,2025-11-18T23:08:14.232314
2306,Jameis Winston,NYG,QB,5.0,6.7,,Neutral,,,,2025-11-18T23:08:14.232380
8157,Bailey Zappe,CLE,QB,0.8,0.8,,Neutral,,,,2025-11-18T23:08:14.232430
11648,Kedon Slovis,ARI,QB,0.7,0.7,,Neutral,,,,2025-11-18T23:08:14.232471
12510,Jalen Milroe,SEA,QB,0.6,0.3,,Neutral,Out,,,2025-11-18T23:08:14.232800
7527,Mac Jones,SF,QB,0.5,0.5,,Neutral,,,,2025-11-18T23:08:14.232847
4179,Joshua Dobbs,NE,QB,0.5,0.5,,Neutral,,,,2025-11-18T23:08:14.232889
5854,Drew Lock,SEA,QB,0.5,0.5,,Neutral,,,,2025-11-18T23:08:14.232932
