sleeper_id,player_name,team,position,projected_points,opponent,def_rank_vs_pos,matchup_tier,injury_status,fppg,week,timestamp
4046,Patrick Mahomes,KC,QB,22.7,23.5,,Neutral,,,,2025-11-25T23:06:42.961130
4881,Lamar Jackson,BAL,QB,22.3,18.9,,Neutral,Questionable,,,2025-11-25T23:06:42.961197
6994,Lamar Jackson,,CB,22.3,18.9,,Neutral,,,,2025-11-25T23:06:42.961197
11564,Drake Maye,NE,QB,22.2,21.4,,Neutral,,,,2025-11-25T23:06:42.961237
6904,Jalen Hurts,PHI,QB,22.2,20.1,,Neutral,,,,2025-11-25T23:06:42.961274
2212,Josh Allen,,G,21.9,20.7,,Neutral,,,,2025-11-25T23:06:42.961312
4984,Josh Allen,BUF,QB,21.9,20.7,,Neutral,,,,2025-11-25T23:06:42.961312
11563,Bo Nix,DEN,QB,20.5,22.3,,Neutral,,,,2025-11-25T23:06:42.961382
6797,Justin Herbert,LAC,QB,19.7,21.8,,Neutral,,,,2025-11-25T23:06:42.961458
421,Matthew Stafford,LAR,QB,19.4,23.0,,Neutral,,,,2025-11-25T23:06:42.961534
12508,Jaxson Dart,NYG,QB,18.5,21.0,,Neutral,Out,,,2025-11-25T23:06:42.961573
3294,Dak Prescott,DAL,QB,18.4,25.6,,Neutral,,,,2025-11-25T23:06:42.961608
8183,Brock Purdy,SF,QB,18.3,22.1,,Neutral,,,,2025-11-25T23:06:42.961642
7523,Trevor Lawrence,JAX,QB,17.8,20.4,,Neutral,,,,2025-11-25T23:06:42.961676
5870,Daniel Jones,IND,QB,17.6,21.4,,Neutral,,,,2025-11-25T23:06:42.961776
3163,Jared Goff,DET,QB,17.4,23.6,,Neutral,,,,2025-11-25T23:06:42.961880
6770,Joe Burrow,CIN,QB,17.3,24.2,,Neutral,IR,,,2025-11-25T23:06:42.961934
11560,Caleb Williams,CHI,QB,16.9,18.5,,Neutral,,,,2025-11-25T23:06:42.961981
3257,Jacoby Brissett,ARI,QB,16.8,23.4,,Neutral,,,,2025-11-25T23:06:42.962026
